Observation id,May 1622-1601 puzzle box day 5,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,,,,,,,
Player #1,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid2.MTS,,,,,,,
,,,,,,,,
Observation date,2020-06-19 07:00:04,,,,,,,
,,,,,,,,
Description,Day 5 of may puzzle box trials for female 1622 and male 1601 in 7.1 with pups,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
945.845,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,STOP
947.377,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,STOP
949.674,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,STOP
1192.512,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,5m,,,START
1201.731,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Female,5m,,,START
1209.398,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Female,5m,,,STOP
1223.980,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,1m,,,START
1248.500,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,1m,,,STOP
1262.347,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,1m,,,START
1322.085,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,1m,,,STOP
1333.554,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,5m,,,STOP
1342.797,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Male,5m,,,START
