Observation id,August 1820-1841 Puzzle Box Day 2 Mitch,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,,,,,,,
,,,,,,,,
Observation date,2022-03-01 07:36:14,,,,,,,
,,,,,,,,
Description,Mitch coding August puzzle box video for coder reliability. Coded March 2022,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
348.618,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,5m,,,START
353.323,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,START
368.236,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,STOP
370.039,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,START
379.849,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,STOP
395.363,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,START
398.266,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,STOP
399.669,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,START
421.090,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,STOP
432.200,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,START
439.108,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,STOP
441.211,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,5m,,,STOP
474.742,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,5m,,,START
477.747,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,START
510.280,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,STOP
513.281,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,START
517.585,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,STOP
519.287,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,START
530.500,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.690,29.97,Female,1m,,,STOP
