Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
162.149,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,5m,,,START
167.625,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
173.101,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
175.117,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
176.847,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
181.746,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
186.358,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
209.126,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
212.008,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
214.026,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
216.619,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
221.518,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
226.994,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
235.642,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,5m,,,STOP
237.659,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,5m,,,START
239.965,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
243.71,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
250.627,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
252.933,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
255.527,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
257.256,C:/Users/parso/Desktop/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
