Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
159.243,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,,Start,,,POINT
160.783,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,5m,,,START
165.099,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
166.543,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
167.405,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
173.173,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
174.323,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
186.618,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
207.657,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,START
210.83,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08172020_Day1_Vid1.MTS,8023.64,29.97,Female,1m,,,STOP
