Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
881.638,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Female,5m,,,START
893.376,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Female,5m,,,STOP
942.568,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,STOP
944.634,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,STOP
947.734,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,STOP
1185.971,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,START
1200.623,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Female,5m,,,START
1209.833,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Female,5m,,,STOP
1222.109,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,START
1247.709,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,STOP
1259.389,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,START
1316.271,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,STOP
1333.723,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,STOP
1337.829,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,START
1354.743,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,STOP
2560.009,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,START
2618.469,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,START
2669.727,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,STOP
2700.825,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,START
2725.855,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,1m,,,STOP
2730.951,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,STOP
3129.951,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,START
3134.003,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,START
3152.187,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,START
3204.823,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,STOP
3205.327,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,STOP
3205.833,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,STOP
4695.776,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,START
4698.443,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,START
4699.248,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,START
4731.278,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,STOP
4732.614,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,START
4769.89,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,STOP
4771.416,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,START
4818.268,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,START
4825.938,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,Interact,,,STOP
4844.33,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,1m,,,STOP
4846.366,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Male,5m,,,STOP
4861.182,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,STOP
4885.746,C:/Users/parso/Desktop/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.83,29.97,Pup,5m,,,START
