,1m,5m,Int,Sol,Touch,Pair,subject,Month
73,7200,7200,7200,7200,7200,1850-1803,1850,November
74,7200,7200,7200,7200,7200,1850-1803,1850,November
75,7200,7200,7200,7200,7200,1850-1803,1850,November
76,7200,7200,7200,7200,7200,1850-1803,1850,November
77,7200,7200,7200,7200,7200,1850-1803,1850,November
78,7200,7200,7200,7200,7200,1850-1803,1850,November
79,7200,7200,7200,7200,7200,1850-1803,1850,November
80,7200,7200,7200,7200,7200,1850-1803,1850,November
81,7200,7200,7200,7200,7200,1600-1623,1623,November
82,7200,2684.013,7200,7200,7200,1600-1623,1623,November
83,5786.188,1011.927,7200,7200,7200,1600-1623,1623,November
84,7200,3123.427,7200,7200,7200,1600-1623,1623,November
85,7200,433.836,7200,7200,7200,1600-1623,1623,November
86,7200,971.645,7200,7200,7200,1600-1623,1623,November
87,7200,607.778,7200,7200,7200,1600-1623,1623,November
88,7200,1309.378,7200,7200,7200,1600-1623,1623,November
89,7200,988.057,7200,7200,7200,1600-1623,1623,November
90,7200,1058.63,7200,7200,7200,1600-1623,1623,November
91,7200,7200,7200,7200,7200,1602-1617,1617,November
92,7200,1215.997,7200,7200,7200,1602-1617,1617,November
93,7200,1293.234,7200,7200,7200,1602-1617,1617,November
94,7200,7200,7200,7200,7200,1602-1617,1617,November
95,7200,1257.402,7200,7200,7200,1602-1617,1617,November
96,7200,372.415,7200,7200,7200,1602-1617,1617,November
97,7200,1788.562,7200,7200,7200,1602-1617,1617,November
98,7200,7200,7200,7200,7200,1602-1617,1617,November
99,7200,587.133,7200,7200,7200,1602-1617,1617,November
100,7200,7200,7200,7200,7200,1602-1617,1617,November
101,306.128,173.553,7200,7200,7200,1610-1703,1703,November
102,310.934,255.025,7200,7200,7200,1610-1703,1703,November
103,177.579,174.776,7200,7200,7200,1610-1703,1703,November
104,7200,256.326,7200,7200,7200,1610-1703,1703,November
105,318.794,220.99,7200,7200,7200,1610-1703,1703,November
106,179.233,168.27,7200,7200,7200,1610-1703,1703,November
107,176.917,174.418,7200,7200,7200,1610-1703,1703,November
108,236.549,233.65,7200,7200,7200,1610-1703,1703,November
109,7200,452.153,7200,7200,7200,1610-1703,1703,November
110,967.845,246.724,7200,7200,7200,1610-1703,1703,November
111,337.611,256.732,7200,7200,7200,1622-1601,1601,November
112,682.853,274.443,7200,7200,7200,1622-1601,1601,November
113,577.38,259.48,7200,7200,7200,1622-1601,1601,November
114,312.372,247.914,7200,7200,7200,1622-1601,1601,November
115,261.275,246.666,7200,7200,7200,1622-1601,1601,November
116,863.33,269.913,7200,7200,7200,1622-1601,1601,November
117,603.856,592.225,7200,7200,7200,1622-1601,1601,November
118,1350.871,1331.658,7200,7200,7200,1622-1601,1601,November
119,321.49,317.586,7200,7200,7200,1622-1601,1601,November
120,1447.516,297.579,7200,7200,7200,1622-1601,1601,November
121,323.912,249.256,7200,7200,7200,1802-1851,1851,November
122,261.766,200.303,7200,7200,7200,1802-1853,1853,November
123,346.356,182.092,7200,7200,7200,1802-1853,1853,November
124,265.682,174.806,7200,7200,7200,1802-1853,1853,November
125,246.425,209.285,7200,7200,7200,1802-1853,1853,November
126,251.226,171.742,7200,7200,7200,1802-1853,1853,November
127,282.258,182.657,7200,7200,7200,1802-1853,1853,November
128,309.207,234.079,7200,7200,7200,1802-1853,1853,November
129,661.486,434.112,7200,7200,7200,1802-1853,1853,November
130,392.761,355.427,7200,7200,7200,1802-1853,1853,November
131,152.709,151.175,7200,7200,7200,1820-1841,1841,November
132,7200,274.328,7200,7200,7200,1820-1841,1841,November
133,7200,472.98,7200,7200,7200,1820-1841,1841,November
134,255.019,251.085,7200,7200,7200,1820-1841,1841,November
135,333.32,240.805,7200,7200,7200,1820-1841,1841,November
136,6831.383,339.66,7200,7200,7200,1820-1841,1841,November
137,437.109,268.636,7200,7200,7200,1820-1841,1841,November
138,7200,220.341,7200,7200,7200,1820-1841,1841,November
139,7200,1412.84,7200,7200,7200,1820-1841,1841,November
140,296.619,291.813,7200,7200,7200,1820-1841,1841,November
141,2334.3,289.058,7200,7200,7200,1842-1851,1851,November
142,1040.542,480.685,7200,7200,7200,1842-1851,1851,November
143,7200,514.885,7200,7200,7200,1842-1851,1851,November
144,7200,7200,7200,7200,7200,1842-1851,1851,November
145,7200,7200,7200,7200,7200,1842-1851,1851,November
146,7200,7200,7200,7200,7200,1842-1851,1851,November
147,1335.023,370.209,7200,7200,7200,1842-1851,1851,November
148,382.952,297.968,7200,7200,7200,1842-1851,1851,November
149,7200,4481.649,7200,7200,7200,1842-1851,1851,November
150,834.22,673.402,7200,7200,7200,1842-1851,1851,November
151,7200,7200,7200,7200,7200,1850-1803,1803,November
152,2317.323,1731.431,7200,7200,7200,1850-1803,1803,November
153,7200,295.177,7200,7200,7200,1850-1803,1803,November
154,7200,7200,7200,7200,7200,1850-1803,1803,November
155,1420.891,967.639,7200,7200,7200,1850-1803,1803,November
156,7200,2382.053,7200,7200,7200,1850-1803,1803,November
157,7200,326.33,7200,7200,7200,1850-1803,1803,November
158,5707.611,1879.984,7200,7200,7200,1850-1803,1803,November
159,7200,406.719,7200,7200,7200,1850-1803,1803,November
160,7200,2769.037,7200,7200,7200,1850-1803,1803,November
