,Aggression,Eating,Foraging,Locomoting,Neutral Social,Play,Resting,Standing,IntCar,InvCar,Other,Out of sight,Scent Marking,Stereotyping,subject,date,Month
April 1617 car feeding obs1.csv,0,37.529,169.144,428.268,0,2.301,0,189.167,0,0,0,65.958,0,0,1617,4/3/2020,April
April 1617 car feeding obs2.csv,0,21.416,231.389,297.667,0,0,0,308.365,0,0,0,41.035,0,0,1617,4/8/2020,April
April 1617 car feeding obs3.csv,0,24.815,365.81,265.729,7.403,0,0,187.067,0,0,0,34.136,0,0,1617,4/14/2020,April
April 1617 car feeding obs4.csv,0,3.001,212.986,431.796,0,0,0,217.977,0,0,0,32.927,0,0,1617,4/21/2020,April
April 1622 car feeding obs1.csv,0,0,55.144,501.555,0,8.506,0,281.54,0,0,0,53.145,0,0,1622,4/3/2020,April
April 1622 car feeding obs2.csv,0,46.235,297.372,305.567,0,0,10.905,199.558,0,0,0,29.327,0,0,1622,4/8/2020,April
April 1622 car feeding obs3.csv,0,0,391.672,268.329,0,0,0,103.174,0,0,24.524,112.205,0,0,1622,4/14/2020,April
April 1622 car feeding obs4.csv,0,8.603,434.598,241.209,0,0,3.803,83.668,0,0,0,128.014,0,0,1622,4/21/2020,April
April 1623 car feeding obs1.csv,0,8.202,128.399,447.891,0,0,0,315.385,0,0,0,0,0,0,1623,4/3/2020,April
April 1623 car feeding obs2.csv,0,4.102,66.755,300.678,0,0,0,522.375,0,0,0,6.003,0,0,1623,4/7/2020,April
April 1623 car feeding obs3.csv,0,14.809,270.444,359.114,0,0,17.217,224.808,0,0,0,13.512,0,0,1623,4/8/2020,April
April 1623 car feeding obs4.csv,0,8.307,231.595,396.86,0,0,0,225.787,0,0,0,35.43,0,0,1623,4/14/2020,April
April 1703 car feeding obs1.csv,0,9.501,487.057,321.393,0,0,0,37.631,0,0,0,44.331,0,0,1703,4/3/2020,April
April 1703 car feeding obs2.csv,0,28.218,576.748,48.341,0,0,78.276,20.817,0,0,0,147.531,0,0,1703,4/7/2020,April
April 1703 car feeding obs3.csv,0,16.91,788.365,14.406,0,0,0,9.106,0,0,0,71.158,0,0,1703,4/8/2020,April
April 1703 car feeding obs4.csv,0,12.006,679.651,165.444,0,0,0,37.624,0,0,0,5.205,0,0,1703,4/14/2020,April
April 1802 car feeding obs1.csv,0,2.401,159.631,564.022,0,0,0,149.014,0,0,0,20.416,0,0,1802,4/3/2020,April
April 1802 car feeding obs2.csv,0,0,0,445.122,0,0,0,52.231,0,0,0,75.277,0,0,1802,4/7/2020,April
April 1802 car feeding obs3.csv,0,0,5.704,785.155,0,0,0,102.075,0,0,0,5.903,0,0,1802,4/9/2020,April
April 1802 car feeding obs4.csv,0,19.911,290.956,463.321,0,0,0,81.162,0,0,0,43.433,0,0,1802,4/17/2020,April
April 1803 car feeding obs1.csv,0,3.102,154.833,511.553,0,0,0,199.281,0,0,0,22.117,0,0,1803,4/3/2020,April
April 1803 car feeding obs2.csv,0,2.299,312.7,384.926,0,0,0,98.975,0,0,0,100.992,0,0,1803,4/14/2020,April
April 1803 car feeding obs3.csv,0,6.405,472.632,230.314,0,0,0,137.827,0,0,0,52.748,0,0,1803,4/21/2020,April
April 1803 car feeding obs4.csv,0,6.006,369.248,163.337,0,0,0,171.465,0,0,0,189.884,0,0,1803,4/22/2020,April
April 1820 car feeding obs1.csv,0,33.126,305.185,236.618,0,0,0,262.335,0,0,0,62.657,0,0,1820,4/7/2020,April
April 1820 car feeding obs2.csv,0,28.021,176.053,132.421,8.902,0,295.193,159.734,4.903,0,0,94.692,0,0,1820,4/8/2020,April
April 1820 car feeding obs3.csv,0,32.223,182.16,187.455,0,0,0,153.334,0,0,0,344.743,0,0,1820,4/17/2020,April
April 1820 car feeding obs4.csv,0,50.237,162.044,122.41,0,0,5.205,101.89,2.703,0,0,455.453,0,0,1820,4/21/2020,April
April 1841 car feeding obs1.csv,0,7.203,113.591,234.191,0,0,0,544.908,0,0,0,0,0,0,1841,4/7/2020,April
April 1841 car feeding obs2.csv,0,14.912,495.352,146.329,0,0,0,176.944,0,0,0,66.362,0,0,1841,4/8/2020,April
April 1841 car feeding obs3.csv,0,5.303,480.946,121.803,0,0,0,251.617,0,0,0,40.235,0,0,1841,4/17/2020,April
April 1841 car feeding obs4.csv,0,11.11,305.785,82.874,0,0,373.473,126.716,0,0,0,0,0,0,1841,4/21/2020,April
April 1842 car feeding obs1.csv,0,0,28.223,646.109,0,2.302,0,223.287,0,0,0,0,0,0,1842,4/3/2020,April
April 1842 car feeding obs2.csv,0,12.409,492.953,217.899,0,0,0,44.911,0,0,0,131.725,0,0,1842,4/7/2020,April
April 1842 car feeding obs3.csv,0,17.006,419.387,247.218,0,0,0,198.577,0,0,0,15.411,0,0,1842,4/8/2020,April
April 1842 car feeding obs4.csv,0,0,77.359,516.474,0,3.604,0,257.393,0,0,0,0,0,0,1842,4/14/2020,April
April 1850 car feeding obs1.csv,0,0,55.454,562.104,0,0,0,216.887,0,0,0,65.463,0,0,1850,4/3/2020,April
April 1850 car feeding obs2.csv,0,8.004,157.238,190.359,0,0,376.677,165.453,0,0,0,2.201,0,0,1850,4/14/2020,April
April 1850 car feeding obs3.csv,0,11.706,181.261,85.269,4.505,0,501.6,115.6,0,0,0,0,0,0,1850,4/21/2020,April
April 1850 car feeding obs4.csv,0,11.508,86.775,77.172,0,0,601.097,123.411,0,0,0,0,0,0,1850,4/24/2020,April
April 1851 car feeding obs1.csv,0,17.81,440.104,250.937,0,0,0,179.847,0,0,0,11.209,0,0,1851,4/3/2020,April
April 1851 car feeding obs2.csv,0,14.211,295.877,302.273,0,0,0,246.43,0,0,0,41.135,0,0,1851,4/7/2020,April
April 1851 car feeding obs3.csv,0,4.601,229.625,80.673,0,0,121.922,18.715,0,0,0,6.004,0,0,1851,4/8/2020,April
April 1851 car feeding obs4.csv,0,24.316,479.059,292.447,0,0,0,78.646,0,0,0,25.418,0,0,1851,4/14/2020,April
April 1853 car feeding obs1.csv,0,46.336,292.649,194.772,0,0,0,191.642,92.087,0,0,59.058,0,0,1853,4/3/2020,April
April 1853 car feeding obs2.csv,0,20.321,187.357,136.024,0,0,0,153.616,77.068,0,0,0,0,0,1853,4/7/2020,April
April 1853 car feeding obs3.csv,0,33.631,546.107,88.363,0,0,0,101.679,123.209,0,6.406,0.5,0,0,1853,4/9/2020,April
April 1853 car feeding obs4.csv,0,25.324,610.171,102.677,0,0,0,119.984,41.74,0,0,0,0,0,1853,4/17/2020,April
May 1600 car feeding obs1 moving.csv,0,0,0,441.888,0,8.209,0,442.285,0,0,0,0,0,0,1600,5/1/2020,May
May 1600 car feeding obs2.csv,0,9.704,446.409,256.424,0,2.701,0,167.922,0,0,0,16.717,0,0,1600,5/4/2020,May
May 1600 car feeding obs3.csv,0,0,41.531,568.302,0,0,0,288.959,0,0,0,1.102,0,0,1600,5/6/2020,May
May 1600 car feeding obs4.csv,0,0,43.545,549.677,0,0,0,306.669,0,0,0,0,0,0,1600,5/8/2020,May
May 1601 car feeding obs1.csv,0,2.301,305.592,226.901,0,0,0,136.419,0,0,0,137.633,0,87.284,1601,5/8/2020,May
May 1601 car feeding obs2.csv,0,32.421,300.382,230.082,0,0,0,158.743,0,0,12.912,163.461,0,0,1601,5/11/2020,May
May 1601 car feeding obs3.csv,0,3.102,273.955,236.91,0,0,0,251.887,0,0,0,134.036,0,0,1601,5/15/2020,May
May 1601 car feeding obs4.csv,0,11.607,197.46,184.058,0,0,0,189.36,0,0,0,317.412,0,0,1601,5/18/2020,May
May 1602 car feeding obs1.csv,0,20.911,232.521,177.352,0,0,281.781,153.023,0,0,4.105,0,0,0,1602,5/8/2020,May
May 1602 car feeding obs2.csv,0,39.025,545.508,101.277,0,0,0,214.102,0,0,0,0,0,0,1602,5/11/2020,May
May 1602 car feeding obs3.csv,0,6.003,287.648,187.779,0,0,0,409.278,0,0,2.501,0,0,0,1602,5/15/2020,May
May 1602 car feeding obs4.csv,0,27.815,82.163,245.01,0,0,0,544.918,0,0,0,0,0,0,1602,5/18/2020,May
May 1610 car feeding obs1.csv,0,49.149,415.578,313.58,0,0,0,84.759,0,0,5.604,11.501,0,6.407,1610,5/1/2020,May
May 1610 car feeding obs2.csv,0,9.22,288.945,281.264,0,0,8.07,312.421,0,0,0,0,0,0,1610,5/4/2020,May
May 1610 car feeding obs3.csv,0,0,11.308,840.936,0,0,0,34.027,0,0,0,13.711,0,0,1610,5/6/2020,May
May 1610 car feeding obs4.csv,0,25.619,77.159,440.106,0,0,0,289.457,0,0,15.814,50.949,0,0,1610,5/8/2020,May
May 1617 car feeding obs1.csv,0,11.204,135.021,502.97,0,0,0,187.162,0,0,6.1,56.343,0,0,1617,5/8/2020,May
May 1617 car feeding obs2.csv,0,0,31.83,221.889,0,0,293.396,336.603,0,0,0,16.216,0,0,1617,5/11/2020,May
May 1617 car feeding obs3.csv,0,6.394,309.267,311.394,0,0,0,238.094,0,0,0,34.739,0,0,1617,5/15/2020,May
May 1617 car feeding obs4.csv,0,9.405,158.733,272.337,0,0,0,440.68,0,0,0,18.714,0,0,1617,5/18/2020,May
May 1622 car feeding obs1.csv,0,10.31,385.452,261.515,0,0,0,233.683,0,0,0,8.907,0,0,1622,5/8/2020,May
May 1622 car feeding obs2.csv,0,3.697,382.242,156.632,0,0,0,76.844,0,0,0,280.473,0,0,1622,5/11/2020,May
May 1622 car feeding obs3.csv,0,6.904,255.534,244.392,0,4.205,0,210.493,0,0,0,178.372,0,0,1622,5/15/2020,May
May 1622 car feeding obs4.csv,0,23.512,344.189,186.851,0,0,0,217.971,0,0,0,127.325,0,0,1622,5/18/2020,May
May 1623 car feeding obs1 moving.csv,0,29.021,117.788,513.372,0,10.313,0,199.459,0,0,0,13.21,0,0,1623,5/1/2020,May
May 1623 car feeding obs2.csv,0,22.211,262.027,438.899,0,0,0,148.422,0,0,0,28.326,0,0,1623,5/4/2020,May
May 1623 car feeding obs3.csv,0,17.214,192.063,413.479,0,0,19.92,240.398,0,0,1.5,7.808,0,0,1623,5/6/2020,May
May 1623 car feeding obs4.csv,0,15.114,161.246,443.205,0,0,0,274.125,0,0,0,4.199,0,0,1623,5/8/2020,May
May 1703 car feeding obs1.csv,0,26.817,610.177,168.75,0,0,0,49.839,0,0,0,8.508,0,0,1703,5/1/2020,May
May 1703 car feeding obs2.csv,0,17.112,636.6,149.734,0,0,0,79.265,0,0,0,13.113,0,0,1703,5/4/2020,May
May 1703 car feeding obs3.csv,0,0,4.505,96.483,0,0,691.293,57.65,0,0,17.716,32.331,0,0,1703,5/6/2020,May
May 1703 car feeding obs4.csv,0,14.515,361.629,255.322,0,0,0,238.021,0,0,0,30.427,0,0,1703,5/8/2020,May
May 1802 car feeding obs1 moving.csv,0,0,72.866,684.451,0,0,0,110.781,0,0,0,26.518,0,0,1802,5/1/2020,May
May 1802 car feeding obs2 moving.csv,0,0,0,65.558,0,0,0,27.622,0,0,0,0,0,0,1802,5/4/2020,May
May 1802 car feeding obs3.csv,0,0,0,0,0,0,0,0,0,0,0,202.202,0,0,1802,5/6/2020,May
May 1802 car feeding obs4.csv,0,0,0,0,0,0,0,0,0,0,0,171,0,0,1802,5/11/2020,May
May 1803 car feeding obs1.csv,0,5.199,330.296,201.348,0,0,0,227.824,0,0,23.32,108.909,0,0,1803,5/8/2020,May
May 1803 car feeding obs2.csv,0,0,178.168,308.98,0,0,0,282.915,0,0,0,127.54,0,0,1803,5/11/2020,May
May 1803 car feeding obs3.csv,0,4.503,271.662,313.264,0,0,0,276.557,0,0,4.502,29.427,0,0,1803,5/15/2020,May
May 1803 car feeding obs4.csv,0,8.004,303.157,176.133,0,0,0,253.112,0,0,0,142.934,0,0,1803,5/18/2020,May
May 1820 car feeding obs1 Moving.csv,0,43.935,196.764,159.441,0,0,0,158.426,69.256,259.216,0,8.107,0,0,1820,5/1/2020,May
May 1820 car feeding obs2 moving.csv,0,26.624,186.561,83.167,0,0,0,100.883,45.638,94.275,357.557,5.203,0,0,1820,5/4/2020,May
May 1820 car feeding obs3.csv,0,80.552,191.767,73.067,0,0,265.267,101.887,61.342,33.527,0,92.49,0,0,1820,5/6/2020,May
May 1820 car feeding obs4.csv,0,34.2,292.096,150.705,0,0,10.759,254.59,14.601,43.042,11.526,88.385,0,0,1820,5/8/2020,May
May 1841 car feeding obs1 moving.csv,0,0,0,133.516,0,0,465.363,281.866,0,0,10.208,9.011,0,0,1841,5/1/2020,May
May 1841 car feeding obs2 moving.csv,0,0,0,323.979,0,0,0,495.454,0,0,0,80.476,0,0,1841,5/4/2020,May
May 1841 car feeding obs3.csv,0,0,66.047,364.933,0,0,0,429.898,0,0,0,39.033,0,0,1841,5/6/2020,May
May 1841 car feeding obs4 moving.csv,0,6.142,22.285,312.723,0,0,0,556.859,0,0,0,0,0,0,1841,5/8/2020,May
May 1842 car feeding obs1.csv,0,0,199.994,530.084,0,0,0,157.828,0,0,0,12.012,0,0,1842,5/1/2020,May
May 1842 car feeding obs2.csv,0,0,5.405,246.723,0,0,315.513,332.297,0,0,0,0,0,0,1842,5/4/2020,May
May 1842 car feeding obs3.csv,0,0,13.911,489.737,0,0,0,394.762,0,0,0,0,0,0,1842,5/6/2020,May
May 1842 car feeding obs4.csv,0,0,3.1,595.952,0,0,0,288.172,0,0,0,8.707,0,0,1842,5/8/2020,May
May 1850 car feeding obs1.csv,0,11.298,278.75,255.132,0,0,0,216.793,0,0,0,137.938,0,0,1850,5/8/2020,May
May 1850 car feeding obs2.csv,0,19.621,299.459,309.749,0,0,0,211.802,0,0,0,59.258,0,0,1850,5/11/2020,May
May 1850 car feeding obs3.csv,0,15.113,326.5,337.087,0,0,0,111.99,17.211,39.934,0,51.044,0,0,1850,5/15/2020,May
May 1850 car feeding obs4.csv,0,9.71,257.042,235.2,0,0,0,382.537,0,0,0,15.414,0,0,1850,5/18/2020,May
May 1851 car feeding obs1.csv,0,26.319,168.045,606.781,0,0,0,91.887,0,0,0,1.502,0,0,1851,5/1/2020,May
May 1851 car feeding obs2.csv,0,23.811,378.444,269.654,0,0,0,228.008,0,0,0,0,0,0,1851,5/4/2020,May
May 1851 car feeding obs3.csv,0,20.414,202.183,350.216,0,0,1.601,230.307,0,0,9.007,86.185,0,0,1851,5/6/2020,May
May 1851 car feeding obs4.csv,0,9.206,167.157,398.044,0,0,0,298.684,0,0,10.509,14.812,0,0,1851,5/8/2020,May
May 1853 car feeding obs1 moving.csv,0,23.621,303.877,226.677,0,0,0,196.942,103.099,25.719,0,19.919,0,0,1853,5/1/2020,May
May 1853 car feeding obs2 moving.csv,0,12.412,25.222,7.904,0,0,0,2.6,45.04,2.7,0,0,0,0,1853,5/4/2020,May
May 1853 car feeding obs3.csv,0,20.419,35.423,48.24,0,0,0,40.329,51.847,5.003,0,0,0,0,1853,5/6/2020,May
May 1853 car feeding obs4 moving.csv,0,10.908,13.11,41.536,0,0,0,14.918,17.015,1.001,0,10.009,0,0,1853,5/11/2020,May
June 1600 car feeding obs1 moving.csv,0,0,0,445.582,11.109,0,0,443.193,0,0,0,0,0,0,1600,6/8/2020,June
June 1600 car feeding obs2 moving.csv,0,0,2.299,362.01,0,0,0,532.875,0,0,0,2.704,0,0,1600,6/10/2020,June
June 1600 car feeding obs3.csv,0,6.403,292.822,336.101,0,0,0,253.931,0,0,0,10.607,0,0,1600,6/15/2020,June
June 1600 car feeding obs4 moving.csv,0,0,14.01,532.386,0,0,0,350.58,0,0,0,0,0,0,1600,6/22/2020,June
June 1601 car feeding obs1.csv,0,0,86.479,327.476,0,0,0,475.44,0,0,4.504,4.505,0,0,1601,6/8/2020,June
June 1601 car feeding obs2 moving.csv,0,14.713,31.225,410.163,0,0,0,404.058,0,0,0,0,0,38.237,1601,6/15/2020,June
June 1601 car feeding obs3.csv,0,27.82,221.292,317.687,0,0,0,295.956,0,0,0,37.135,0,0,1601,6/17/2020,June
June 1601 car feeding obs4.csv,0,0,0,115.107,0,0,0,734.828,0,0,0,50.044,0,0,1601,6/22/2020,June
June 1602 car feeding obs1.csv,0,0,9.81,470.538,0,0,0,349.914,0,0,0,69.658,0,0,1602,6/8/2020,June
June 1602 car feeding obs2 moving.csv,0,0,2.608,452.024,0,0,0,408.861,0,0,0,30.331,0,0,1602,6/10/2020,June
June 1602 car feeding obs3 moving.csv,0,0,5.204,541.796,0,0,0,199.667,0,0,0,144.829,0,0,1602,6/15/2020,June
June 1602 car feeding obs4.csv,0,0,10.806,437.701,0,0,0,403.565,0,0,0,47.841,0,0,1602,6/17/2020,June
June 1610 car feeding obs1.csv,0,7.499,245.326,320.201,0,0,0,317.897,0,0,0,9.01,0,0,1610,6/8/2020,June
June 1610 car feeding obs2.csv,0,10.207,416.784,201.279,0,0,49.248,204.072,0,0,18.319,0,0,0,1610,6/15/2020,June
June 1610 car feeding obs3.csv,0,6.703,269.629,367.44,0,0,0,256.14,0,0,0,0,0,0,1610,6/17/2020,June
June 1610 car feeding obs4.csv,0,1.5,68.059,257.743,0,0,0,569.234,0,0,3.403,0,0,0,1610,6/22/2020,June
June 1617 car feeding obs1.csv,0,0,1.899,336.708,0,0,0,298.277,0,0,0,263.058,0,0,1617,6/8/2020,June
June 1617 car feeding obs2 moving.csv,0,0,3.303,511.367,0,0,0,358.207,0,0,0,27.031,0,0,1617,6/10/2020,June
June 1617 car feeding obs3 moving.csv,0,8.005,110.282,644.586,0,0,0,86.664,0,0,0,50.339,0,0,1617,6/15/2020,June
June 1617 car feeding obs4.csv,0,14.808,62.854,437.699,0,0,0,298.368,0,0,0,68.455,0,0,1617,6/17/2020,June
June 1622 car feeding obs1.csv,0,15.514,183.752,384.451,0,0,0,275.519,0,0,0,31.326,0,0,1622,6/8/2020,June
June 1622 car feeding obs2 moving.csv,0,2.599,16.607,588.852,0,0,0,284.733,0,0,0,7.104,0,0,1622,6/15/2020,June
June 1622 car feeding obs3.csv,0,0,23.618,635.499,0,0,0,218.578,0,0,0,13.212,0,0,1622,6/17/2020,June
June 1622 car feeding obs4.csv,0,0,0,374.536,0,0,0,493.077,0,0,0,32.33,0,0,1622,6/22/2020,June
June 1623 car feeding obs1 moving.csv,0,4.101,186.968,404.865,0,0,0,286.65,0,0,0,17.319,0,0,1623,6/8/2020,June
June 1623 car feeding obs2 moving.csv,0,0,0,277.549,0,0,0,616.886,0,0,0,0,0,0,1623,6/10/2020,June
June 1623 car feeding obs3.csv,0,15.511,183.161,448.295,0,0,0,248.701,0,0,0,4.202,0,0,1623,6/15/2020,June
June 1623 car feeding obs4 moving.csv,0,6.905,164.935,394.249,0,0,0,310.698,0,0,0,23.117,0,0,1623,6/22/2020,June
June 1703 car feeding obs1.csv,0,8.505,673.832,155.027,0,0,0,53.542,0,0,0,9.006,0,0,1703,6/8/2020,June
June 1703 car feeding obs2.csv,0,19.716,574.953,224.991,0,0,0,67.153,0,0,0,13.109,0,0,1703,6/15/2020,June
June 1703 car feeding obs3.csv,0,10.809,709.582,122.917,0,0,0,45.931,0,0,0,10.71,0,0,1703,6/17/2020,June
June 1703 car feeding obs4.csv,0,2.205,346.717,395.849,0,0,0,134.628,0,0,0,20.517,0,0,1703,6/22/2020,June
June 1802 car feeding obs1 moving.csv,0,0,0,161.346,0,0,0,59.338,0,0,0,0,0,0,1802,6/8/2020,June
June 1802 car feeding obs2 moving.csv,0,0,0,55.275,0,0,0,31.525,0,0,0,0,0,0,1802,6/17/2020,June
June 1802 car feeding obs3 moving.csv,0,0,0,196.982,0,0,0,44.627,0,0,0,0,0,0,1802,6/22/2020,June
June 1802 car feeding obs4 moving.csv,0,0,0,204.43,0,0,0,26.504,0,0,0,0,0,0,1802,6/24/2020,June
June 1803 car feeding obs1.csv,0,7.603,497.349,341.083,0,0,0,35.718,0,0,0,18.117,0,0,1803,6/17/2020,June
June 1803 car feeding obs2.csv,0,0,54.561,596.774,0,0,0,241.685,0,0,0,6.915,0,0,1803,6/24/2020,June
June 1803 car feeding obs3.csv,0,2.602,549.213,235.797,0,0,0,93.476,0,0,0,16.912,0,0,1803,6/25/2020,June
June 1803 car feeding obs4.csv,0,5.758,412.682,99.898,0,0,91.491,263.604,0,0,0,26.512,0,0,1803,6/29/2020,June
June 1820 car feeding obs1 moving.csv,0,0,136.618,372.527,0,0,8.307,165.238,37.429,170.763,0,4.503,0,0,1820,6/8/2020,June
June 1820 car feeding obs2 moving.csv,0,45.736,158.544,161.85,0,0,28.526,156.543,223.301,59.042,0,62.662,0,0,1820,6/17/2020,June
June 1820 car feeding obs3.csv,0,40.324,217.286,92.784,0,0,0,81.368,287.568,80.178,0,98.898,0,0,1820,6/22/2020,June
June 1820 car feeding obs4 moving.csv,0,0,74.153,145.218,0,0,0,183.107,111.818,176.844,0,208.787,0,0,1820,6/24/2020,June
June 1841 car feeding obs1 moving.csv,0,0,0,424.585,0,0,0,449.308,0,0,0,24.121,0,0,1841,6/8/2020,June
June 1841 car feeding obs2 moving.csv,0,0,145.532,387.341,0,0,0,347.53,0,0,0,18.118,0,0,1841,6/17/2020,June
June 1841 car feeding obs3.csv,0,0,4.202,376.351,0,0,0,519.385,0,0,0,0,0,0,1841,6/22/2020,June
June 1841 car feeding obs4 moving.csv,0,0,71.081,345.99,0,0,0,430.591,0,0,0,52.257,0,0,1841,6/24/2020,June
June 1842 car feeding obs1.csv,0,0,42.533,438.801,0,0,0,418.57,0,0,0,0,0,0,1842,6/8/2020,June
June 1842 car feeding obs2.csv,0,0,10.81,280.273,0,0,0,586.84,0,0,0,22.021,0,0,1842,6/15/2020,June
June 1842 car feeding obs3.csv,0,0,9.406,440.797,0,0,0,444.806,0,0,0,0,0,0,1842,6/17/2020,June
June 1842 car feeding obs4.csv,0,0,8.405,484.843,0,0,0,406.668,0,0,0,0,0,0,1842,6/22/2020,June
June 1850 car feeding obs1.csv,0,19.512,372.826,304.376,0,0,88.786,39.134,2.701,29.225,0,42.236,0,0,1850,6/17/2020,June
June 1850 car feeding obs2.csv,0,24.493,98.348,195.225,0,0,219.034,262.73,44.949,31.311,0,23.819,0,0,1850,6/24/2020,June
June 1850 car feeding obs3.csv,0,14.609,337.307,290.05,0,0,0,192.962,29.122,2.7,0,20.019,0,0,1850,6/25/2020,June
June 1850 car feeding obs4.csv,0,12.286,141.387,214.015,0,0,211.38,213.637,49.945,15.369,3.457,38.418,0,0,1850,6/29/2020,June
June 1851 car feeding obs1.csv,0,21.114,221.498,282.745,0,0,0,374.557,0,0,0,0,0,0,1851,6/8/2020,June
June 1851 car feeding obs2.csv,0,24.215,506.445,175.359,0,0,0,83.669,68.763,39.231,0,2.203,0,0,1851,6/15/2020,June
June 1851 car feeding obs3.csv,0,18.314,455.81,198.684,0,0,0,220.799,0,0,0,0,0,0,1851,6/17/2020,June
June 1851 car feeding obs4.csv,0,33.525,55.543,277.846,0,0,0,367.951,153.047,0,4.203,7.806,0,0,1851,6/22/2020,June
June 1853 car feeding obs1 moving.csv,0,11.009,78.86,33.023,0,0,0,32.331,46.542,12.611,0,0,0,0,1853,6/8/2020,June
June 1853 car feeding obs2 moving.csv,0,66.941,1.899,5.304,0,0,0,0,12.811,0.7,0,0,0,0,1853,6/17/2020,June
June 1853 car feeding obs3 moving.csv,0,48.145,99.171,8.006,0,0,0,25.722,53.05,0,0,0,0,0,1853,6/22/2020,June
June 1853 car feeding obs4 moving.csv,0,8.07,154.378,10.757,0,0,0,5.764,52.256,0,0,0,0,0,1853,6/24/2020,June
July 1600 car feeding obs 1 moving.csv,0,0,21.124,594.302,0,0,0,277.109,0,0,0,6.919,0,0,1600,7/1/2020,July
July 1600 car feeding obs 2 moving.csv,0,0,0,436.669,0,0,1.707,459.307,0,0,0,2.205,0,0,1600,7/6/2020,July
July 1600 car feeding obs 3 moving.csv,0,0,3.077,197.114,0,0,0,63.759,0,0,0,635.999,0,0,1600,7/15/2020,July
July 1600 car feeding obs 4 moving.csv,0,0,19.21,197.821,0,0,0,38.028,0,0,0,644.117,0,0,1600,7/22/2020,July
July 1601 car feeding obs 1.csv,0,0,0,356.794,0,0,0,486.367,0,0,0,19.823,0,0,1601,7/1/2020,July
July 1601 car feeding obs 2.csv,0,6.112,160.615,326.806,0,0,0,86.435,0,0,0,4.504,0,314.405,1601,7/6/2020,July
July 1601 car feeding obs 3.csv,0,19.592,375.478,117.17,0,0,0,51.106,0,0,0,336.535,0,0,1601,7/13/2020,July
July 1601 car feeding obs 4.csv,0,20.803,605.63,53.42,0,0,0,55.364,0,2.7,0,158.365,0,0,1601,7/22/2020,July
July 1602 car feeding obs 1 moving.csv,0,26.581,401.77,313.262,0,0,0,141.729,0,0,0,15.748,0,0,1602,7/1/2020,July
July 1602 car feeding obs 2.csv,0,13.825,493.096,213.9,0,0,0,152.556,0,0,0,24.968,0,0,1602,7/6/2020,July
July 1602 car feeding obs 3 moving.csv,0,0,8.071,216.432,0,0,78.673,183.754,0,0,0,411.485,0,0,1602,7/13/2020,July
July 1602 car feeding obs 4 moving.csv,0,0.764,707.622,145.596,0,0,0,45.918,0,0,0,0,0,0,1602,7/22/2020,July
July 1610 car feeding obs 1.csv,0,11.518,124.957,316.689,8.457,3.078,193.512,215.947,0,0,0,25.749,0,0,1610,7/1/2020,July
July 1610 car feeding obs 2.csv,0,10.671,89.601,209.337,0,0,227.881,350.608,0,0,0,11.81,0,0,1610,7/6/2020,July
July 1610 car feeding obs 3.csv,0,9.027,171.466,183.533,0,0,0,16.998,0,0,0,515.352,0,0,1610,7/13/2020,July
July 1610 car feeding obs 4.csv,0,6.345,120.068,197.773,0,0,0,126.821,0,0,0,448.64,0,0,1610,7/22/2020,July
July 1617 car feeding obs 1 moving.csv,2.496,2.395,376.428,431.113,0,0,0,68.302,0,0,0,19.112,0,0,1617,7/1/2020,July
July 1617 car feeding obs 2.csv,0,27.91,438.979,230.99,0,0,0,188.162,0,0,0,12.408,0,0,1617,7/6/2020,July
July 1617 car feeding obs 3 moving.csv,0,0,86.671,379.218,0,0,0,74.465,0,0,0,359.557,0,0,1617,7/13/2020,July
July 1617 car feeding obs 4 moving.csv,0,3.801,765.415,85.573,0,0,0,45.123,0,0,0,0,0,0,1617,7/22/2020,July
July 1622 car feeding obs 1.csv,0,0,0.769,643.276,0,0,0,235.118,0,0,0,11.148,0,0,1622,7/1/2020,July
July 1622 car feeding obs 2.csv,0,0,1.537,669.571,0,0,0,191.069,0,0,0,30.333,0,6.533,1622,7/6/2020,July
July 1622 car feeding obs 3.csv,0,0,28.532,222.836,0,0,0,38.125,0,0,0,610.46,0,0,1622,7/13/2020,July
July 1622 car feeding obs 4.csv,0,4.51,356.529,227.989,0,0,0,74.245,0,0,0,236.625,0,0,1622,7/22/2020,July
July 1623 car feeding obs 1 moving.csv,0,8.798,284.261,495.037,0,0,0,98.478,0,0,0,12.912,0,0,1623,7/1/2020,July
July 1623 car feeding obs 2 moving.csv,0,12.085,178.954,257.992,0,0,275.837,170.976,0,0,0,3.743,0,0,1623,7/6/2020,July
July 1623 car feeding obs 3 moving.csv,0,9.304,608.879,113.077,0,0,0,46.817,0,0,0,119.023,0,0,1623,7/15/2020,July
July 1623 car feeding obs 4 moving.csv,0,5.693,546.617,122.198,0,0,0,30.031,0,0,0,195.386,0,0,1623,7/22/2020,July
July 1703 car feeding obs 1.csv,0,23.523,646.913,160.829,2.499,6.007,2.103,48.113,0,0,0,9.903,0,0,1703,7/1/2020,July
July 1703 car feeding obs 2.csv,0,8.497,461.02,297.653,0,0,0,85.78,0,0,0,45.941,0,0,1703,7/6/2020,July
July 1703 car feeding obs 3.csv,0,5.895,477.374,246.482,0,0,0,51.836,0,0,0,118.318,0,0,1703,NA,July
July 1703 car feeding obs 4.csv,0,8.61,429.105,184.173,0,0,0,4.095,0,0,0,273.968,0,0,1703,7/22/2020,July
