,1m,5m,Int,Tou,Solve,Total,Pair,subject,day,month
78,0,93.695,0,0,0,5776.97,1602-1617,1617,6,Pretrial
79,0,138.637,0,0,0,6704.87,1602-1617,1617,7,Pretrial
80,0,28.334,0,0,0,6594.24,1602-1617,1617,8,Pretrial
81,0,16.509,0,0,0,3484.3,1610-1703,1703,1,Pretrial
82,1.803,420.13,0,0,0,4198.87,1610-1703,1703,2,Pretrial
83,0,29.128,0,0,0,3455.63,1610-1703,1703,3,Pretrial
84,0,28.746,0,0,0,6730.91,1610-1703,1703,4,Pretrial
85,0,4.607,0,0,0,6489.65,1610-1703,1703,5,Pretrial
86,6.107,335.018,0,0,0,5405.05,1610-1703,1703,6,Pretrial
87,5.005,266.86,0,0,0,6459.1,1610-1703,1703,7,Pretrial
88,5.903,4.305,0,0,0,5999.17,1610-1703,1703,8,Pretrial
89,332.461,2.498,0,0,0,5694.49,1622-1601,1601,1,Pretrial
90,22.288,238.97,0,0,0,4974.19,1622-1601,1601,2,Pretrial
91,38.841,680.884,0,0,0,5622.11,1622-1601,1601,3,Pretrial
92,66.266,499.198,0,0,0,6675.88,1622-1601,1601,4,Pretrial
93,185.585,918.605,0,0,0,7886.97,1622-1601,1601,5,Pretrial
94,197.629,1731.158,0,0,0,8127.89,1622-1601,1601,6,Pretrial
95,58.771,886.69,0,0,0,5507.18,1622-1601,1601,7,Pretrial
96,0,55.46,0,0,0,6609.79,1622-1601,1601,8,Pretrial
97,139.741,796.187,0,0,0,6994.15,1802-1853,1853,1,Pretrial
98,0,108.866,0,0,0,6690.87,1802-1853,1853,2,Pretrial
99,0,118.757,0,0,0,6613.8,1802-1853,1853,3,Pretrial
100,0,15.628,0,0,0,6694.34,1802-1853,1853,4,Pretrial
101,0,104.37,0,0,0,5788.77,1802-1853,1853,5,Pretrial
102,0,2.703,0,0,0,7281.92,1802-1853,1853,6,Pretrial
103,0,3.703,0,0,0,6399.39,1802-1853,1853,7,Pretrial
104,0,60.24,0,0,0,6588.27,1802-1853,1853,8,Pretrial
105,518.122,0,30.618,0,0,5871.02,1820-1841,1841,1,Pretrial
106,90.283,0,0,0,0,5618.29,1820-1841,1841,2,Pretrial
107,11.712,0,0,0,0,6589.78,1820-1841,1841,3,Pretrial
108,37.146,0,0,0,0,7722.44,1820-1841,1841,4,Pretrial
109,0,25.725,0,0,0,6695.37,1820-1841,1841,5,Pretrial
110,3.701,5.204,0,0,0,5591.2,1820-1841,1841,6,Pretrial
111,0,5.247,0,0,0,7641.24,1820-1841,1841,7,Pretrial
112,0,5.806,0,0,0,8277.48,1820-1841,1841,8,Pretrial
113,636.46,1534.72,16.52,0,0,5768.46,1842-1851,1851,1,Pretrial
114,12.248,338.249,0,0,0,7201.39,1842-1851,1851,2,Pretrial
115,0,459.41,0,0,0,7507.2,1842-1851,1851,3,Pretrial
116,62.662,699.692,0,0,0,6823.52,1842-1851,1851,4,Pretrial
117,0,345.699,0,0,0,7712.41,1842-1851,1851,5,Pretrial
